user_id,movie_id,rating
0,1,1.9
0,9,2.9
0,11,2.7
0,12,4.1
0,14,3.4
0,16,3.8
0,21,2.1
0,25,2.2
0,37,3.3
0,38,2.9
0,46,2.3
1,5,1.7
1,11,2.2
1,12,4.5
1,13,1.5
1,15,2.5
1,19,2.7
1,25,3.0
1,38,3.4
1,43,3.0
1,48,1.9
2,3,2.0
2,13,2.3
2,19,2.2
2,41,2.3
3,10,2.1
3,11,1.9
3,18,1.8
3,22,1.9
3,26,1.7
3,28,2.3
3,34,2.2
3,43,2.0
3,45,1.7
4,0,2.5
4,3,3.0
4,7,2.3
4,11,2.4
4,15,2.3
4,16,2.2
4,17,2.7
4,21,2.7
4,24,2.3
4,40,2.2
4,42,2.2
4,49,2.1
5,2,2.1
5,4,2.0
5,6,2.5
5,15,2.1
5,21,2.2
5,22,2.6
5,24,3.2
5,34,2.1
5,47,2.2
5,49,2.2
6,1,2.1
6,4,2.3
6,9,2.5
6,18,2.6
6,24,3.7
6,26,2.4
6,32,2.1
6,34,1.5
6,35,2.8
6,39,2.4
7,9,2.5
7,10,1.7
7,11,1.8
7,18,1.9
7,24,2.4
7,26,2.1
7,28,2.2
7,33,2.1
7,36,1.8
7,41,2.2
7,45,1.7
7,47,1.4
8,0,2.5
8,6,1.9
8,7,2.9
8,13,1.1
8,15,2.4
8,21,2.3
8,23,2.5
8,25,1.8
8,27,2.0
8,30,2.7
8,34,2.0
8,39,1.9
8,42,2.1
9,13,1.7
9,14,2.2
9,33,2.8
9,34,1.9
9,38,2.2
9,40,1.9
9,43,2.0
10,2,1.6
10,8,2.1
10,13,1.5
10,23,2.7
10,24,3.7
10,31,2.6
10,32,2.3
10,39,2.0
10,45,2.2
11,0,2.5
11,2,2.3
11,8,2.8
11,21,3.2
11,26,1.5
11,28,1.8
11,29,2.8
11,39,2.6
11,41,3.0
11,48,1.7
12,1,1.3
12,5,1.0
12,9,2.0
12,11,2.1
12,13,1.6
12,16,2.1
12,30,3.3
12,32,2.5
12,33,2.3
12,34,1.9
12,36,2.1
12,37,2.7
12,48,2.4
13,4,2.4
13,6,2.0
13,10,3.6
13,13,2.3
13,16,3.5
13,25,1.9
13,26,2.8
13,29,2.2
13,32,2.6
13,33,2.5
13,41,3.3
13,42,2.8
13,44,2.5
13,45,2.4
14,4,2.9
14,9,3.1
14,12,3.0
14,16,3.9
14,21,1.3
14,25,2.1
14,27,2.5
14,28,2.3
14,32,2.7
14,35,2.6
14,40,2.4
14,43,2.8
14,45,3.2
14,46,2.1
15,4,2.0
15,8,3.0
15,10,2.0
15,18,1.9
15,20,2.9
15,30,2.4
15,42,2.8
15,45,2.4
